"id_student","code_module","code_presentation","Assessment_score","gender","region","highest_education","imd_band","age_band","num_of_prev_attempts","studied_credits","disability","final_result","Total_clicks","date_registration"
104213,"FFF","2013J",1017,"M","South West Region","A Level or Equivalent","70-80%","0-35",0,60,"N","Pass",2245,-92
1042726,"FFF","2014J",834,"M","Scotland","A Level or Equivalent","30-40%","35-55",0,60,"N","Fail",2151,-79
104476,"AAA","2013J",398,"M","Ireland","Post Graduate Qualification","","35-55",0,60,"N","Pass",4777,-109
104480,"CCC","2014J",616,"M","North Region","No Formal quals","","0-35",0,120,"N","Fail",203,-121
1044992,"DDD","2013B",1024,"M","Wales","HE Qualification","70-80%","35-55",0,60,"N","Pass",1169,-214
1045091,"FFF","2014B",74,"M","North Western Region","A Level or Equivalent","20-30%","55>=",0,60,"N","Fail",306,-17
1045203,"AAA","2014J",397,"M","Wales","Lower Than A Level","0-10%","35-55",0,60,"N","Pass",3533,-155
104643,"DDD","2013J",534,"F","South West Region","A Level or Equivalent","70-80%","0-35",0,60,"N","Pass",1496,-152
1049036,"DDD","2014B",534,"M","North Western Region","A Level or Equivalent","30-40%","35-55",0,120,"N","Pass",1185,-53
105168,"EEE","2013J",430,"M","Scotland","HE Qualification","70-80%","0-35",0,90,"N","Fail",1107,-39
1053702,"EEE","2013J",365,"M","Scotland","HE Qualification","60-70%","35-55",0,90,"N","Pass",1486,-46
1054876,"FFF","2013B",138,"M","Yorkshire Region","Lower Than A Level","60-70%","35-55",0,60,"N","Fail",1036,-59
105523,"DDD","2013J",668,"M","Scotland","HE Qualification","60-70%","35-55",0,90,"N","Pass",1954,-37
105527,"BBB","2013J",915,"F","Scotland","HE Qualification","40-50%","35-55",0,120,"N","Pass",993,-92
105629,"FFF","2013J",1048,"M","South East Region","A Level or Equivalent","10-20","35-55",0,60,"N","Pass",5925,-58
105883,"BBB","2013J",844,"F","North Western Region","A Level or Equivalent","0-10%","35-55",0,60,"N","Pass",4022,-29
106095,"BBB","2014J",298,"F","North Western Region","A Level or Equivalent","70-80%","0-35",0,60,"N","Pass",1243,-161
1064492,"FFF","2013J",1125,"M","South Region","HE Qualification","90-100%","35-55",0,120,"N","Pass",5053,-22
106553,"DDD","2014J",522,"F","Yorkshire Region","Lower Than A Level","40-50%","0-35",0,60,"N","Pass",548,-136
1065824,"FFF","2013J",1104,"M","Wales","HE Qualification","50-60%","35-55",0,150,"N","Pass",9614,-190
106793,"BBB","2014J",289,"M","East Anglian Region","A Level or Equivalent","60-70%","35-55",0,60,"N","Fail",404,-23
1068316,"CCC","2014J",1094,"M","Scotland","A Level or Equivalent","40-50%","35-55",0,60,"N","Fail",3318,-92
1068316,"DDD","2013B",1094,"M","Scotland","A Level or Equivalent","40-50%","35-55",0,75,"N","Pass",3318,-83
107028,"FFF","2013J",501,"M","East Midlands Region","Lower Than A Level","10-20","0-35",0,90,"N","Fail",666,-58
107084,"FFF","2013J",666,"M","London Region","HE Qualification","0-10%","35-55",0,200,"N","Fail",1493,-17
107162,"FFF","2013B",1035,"F","South Region","A Level or Equivalent","70-80%","35-55",0,60,"N","Pass",4243,-93
1072259,"FFF","2014B",860,"M","North Western Region","HE Qualification","60-70%","35-55",0,90,"N","Pass",2107,-89
107339,"CCC","2014B",1026,"F","Scotland","HE Qualification","10-20","0-35",0,60,"N","Pass",4604,-178
1073766,"EEE","2013J",1011,"M","East Midlands Region","HE Qualification","80-90%","35-55",0,60,"N","Pass",4542,-51
1073767,"FFF","2013B",1020,"F","East Midlands Region","HE Qualification","80-90%","35-55",0,60,"N","Pass",6145,-34
107489,"AAA","2014J",410,"F","London Region","HE Qualification","20-30%","0-35",0,60,"N","Pass",3722,-81
1076015,"CCC","2014J",770,"M","Scotland","A Level or Equivalent","80-90%","35-55",0,60,"N","Pass",601,-22
1078701,"CCC","2014J",1014,"F","South West Region","HE Qualification","40-50%","35-55",0,90,"N","Pass",4761,-41
1078701,"DDD","2014J",1014,"F","South West Region","HE Qualification","40-50%","35-55",0,90,"N","Pass",4761,-85
1080206,"DDD","2013J",569,"F","Scotland","HE Qualification","70-80%","35-55",0,60,"N","Pass",1793,-45
108118,"BBB","2013J",703,"F","South Region","A Level or Equivalent","90-100%","35-55",0,60,"N","Pass",396,-32
1082062,"DDD","2014J",541,"M","North Western Region","Lower Than A Level","30-40%","35-55",0,60,"Y","Pass",2461,-53
108281,"EEE","2014J",362,"M","Scotland","HE Qualification","10-20","35-55",0,30,"N","Pass",3797,-57
108330,"FFF","2013B",705,"M","West Midlands Region","A Level or Equivalent","30-40%","35-55",1,60,"N","Pass",3209,-83
108497,"EEE","2014J",307,"M","South West Region","Lower Than A Level","0-10%","0-35",0,60,"N","Pass",2208,-50
108589,"BBB","2013B",976,"F","Ireland","A Level or Equivalent","70-80%","0-35",0,60,"N","Pass",411,-108
108872,"AAA","2014J",309,"M","London Region","HE Qualification","80-90%","55>=",0,60,"N","Pass",1377,-80
108949,"FFF","2014J",483,"M","North Western Region","Lower Than A Level","10-20","0-35",2,60,"N","Fail",557,-60
1090738,"FFF","2013B",726,"M","Wales","A Level or Equivalent","70-80%","35-55",1,150,"N","Fail",1325,-22
1091274,"CCC","2014J",277,"M","Wales","HE Qualification","50-60%","35-55",0,60,"N","Fail",972,-18
109155,"AAA","2014J",339,"F","South Region","HE Qualification","90-100%","0-35",0,60,"N","Pass",3019,-80
109372,"BBB","2013J",939,"F","South West Region","Lower Than A Level","","0-35",0,60,"N","Pass",1450,-141
109577,"FFF","2014J",1260,"M","North Western Region","A Level or Equivalent","70-80%","0-35",0,120,"N","Pass",3794,-50
1095916,"CCC","2014B",1510,"M","South Region","A Level or Equivalent","90-100%","35-55",0,30,"N","Pass",4487,-130
1095916,"DDD","2013B",1510,"M","South Region","A Level or Equivalent","90-100%","35-55",0,60,"N","Pass",4487,-71
109772,"GGG","2014B",725,"F","South Region","A Level or Equivalent","30-40%","0-35",0,30,"N","Pass",199,-25
109938,"BBB","2013B",988,"F","Wales","HE Qualification","60-70%","0-35",0,120,"N","Pass",396,-44
110085,"FFF","2013B",819,"M","Ireland","Lower Than A Level","","0-35",1,310,"N","Fail",1679,-23
110175,"AAA","2013J",317,"M","East Anglian Region","HE Qualification","80-90%","35-55",0,60,"N","Pass",998,-110
110200,"DDD","2013B",299,"F","London Region","Lower Than A Level","70-80%","0-35",0,90,"N","Fail",157,-93
1103608,"DDD","2013J",606,"F","South West Region","HE Qualification","70-80%","35-55",0,60,"N","Pass",2735,-165
1105478,"AAA","2013J",413,"M","Scotland","HE Qualification","80-90%","55>=",0,60,"N","Pass",1695,-144
1105628,"DDD","2013B",533,"F","East Anglian Region","Lower Than A Level","90-100%","35-55",0,60,"N","Fail",1447,-25
110881,"BBB","2013B",1677,"F","East Anglian Region","A Level or Equivalent","40-50%","0-35",0,60,"N","Pass",5032,-43
110881,"FFF","2013J",1677,"F","East Anglian Region","A Level or Equivalent","40-50%","0-35",0,60,"N","Pass",5032,-16
111360,"DDD","2013J",354,"M","West Midlands Region","HE Qualification","30-40%","0-35",3,60,"N","Fail",697,-45
111717,"AAA","2013J",243,"F","East Anglian Region","HE Qualification","90-100%","35-55",0,60,"N","Pass",2343,-43
111775,"FFF","2013B",1067,"M","Ireland","HE Qualification","","35-55",1,60,"N","Pass",3211,-22
1118284,"FFF","2013B",1103,"M","South Region","A Level or Equivalent","60-70%","35-55",0,60,"N","Pass",3778,-22
1118432,"BBB","2014J",358,"F","North Western Region","HE Qualification","30-40%","35-55",0,60,"N","Pass",2728,-59
111926,"DDD","2013J",615,"M","East Anglian Region","Lower Than A Level","30-40%","0-35",1,60,"N","Fail",1553,-44
111942,"BBB","2013J",955,"F","South West Region","A Level or Equivalent","70-80%","35-55",0,120,"N","Pass",1853,-128
112245,"DDD","2013B",1102,"M","South Region","HE Qualification","90-100%","35-55",0,60,"N","Pass",2262,-73
112441,"GGG","2014B",777,"F","West Midlands Region","A Level or Equivalent","0-10%","0-35",0,30,"N","Pass",969,-17
112454,"CCC","2014J",685,"M","South East Region","HE Qualification","90-100%","0-35",0,30,"N","Pass",1131,-123
1127413,"BBB","2014B",997,"F","Scotland","HE Qualification","70-80%","35-55",0,120,"N","Pass",220,-68
113698,"EEE","2013J",122,"M","South West Region","Lower Than A Level","60-70%","0-35",0,30,"N","Fail",271,-52
113824,"EEE","2013J",152,"M","East Anglian Region","Lower Than A Level","90-100%","0-35",0,120,"Y","Fail",590,-108
11391,"AAA","2013J",410,"M","East Anglian Region","HE Qualification","90-100%","55>=",0,240,"N","Pass",934,-159
114017,"AAA","2013J",359,"F","North Region","Post Graduate Qualification","","35-55",0,60,"N","Pass",757,-29
114402,"BBB","2014J",438,"F","South East Region","Lower Than A Level","50-60%","0-35",0,90,"Y","Pass",1123,-9
114558,"DDD","2013J",414,"M","North Region","Lower Than A Level","","0-35",0,60,"N","Pass",1620,-86
114999,"AAA","2013J",364,"M","Yorkshire Region","HE Qualification","60-70%","35-55",0,60,"N","Pass",1358,-68
115373,"FFF","2013B",981,"M","South Region","Lower Than A Level","90-100%","0-35",0,60,"N","Pass",3386,-86
116529,"FFF","2014J",880,"M","West Midlands Region","Lower Than A Level","30-40%","0-35",1,120,"N","Fail",1408,-46
116541,"AAA","2013J",312,"M","Wales","HE Qualification","0-10%","0-35",0,60,"N","Pass",1886,-68
116606,"BBB","2014J",290,"M","East Midlands Region","A Level or Equivalent","50-60%","35-55",0,60,"N","Pass",511,-89
116621,"FFF","2014B",1082,"M","North Region","A Level or Equivalent","40-50%","0-35",0,60,"N","Pass",5554,-78
116692,"AAA","2013J",371,"M","East Anglian Region","A Level or Equivalent","70-80%","35-55",0,60,"N","Pass",1108,-32
116808,"FFF","2013J",1145,"M","Scotland","HE Qualification","80-90%","55>=",0,60,"N","Pass",12175,-51
1170618,"BBB","2013J",926,"F","South East Region","HE Qualification","70-80%","35-55",0,120,"N","Pass",550,32
117071,"BBB","2013B",146,"M","London Region","A Level or Equivalent","40-50%","35-55",0,60,"N","Fail",74,-25
117197,"EEE","2013J",355,"F","South Region","A Level or Equivalent","40-50%","0-35",0,130,"N","Pass",1009,-66
117232,"CCC","2014B",1531,"M","Ireland","A Level or Equivalent","20-30%","0-35",0,90,"N","Pass",2692,-61
117232,"FFF","2013J",1531,"M","Ireland","A Level or Equivalent","20-30%","0-35",0,90,"N","Pass",2692,-50
117281,"DDD","2014B",580,"M","South Region","A Level or Equivalent","70-80%","0-35",0,60,"N","Pass",1427,-155
1173473,"DDD","2014J",544,"M","South Region","Lower Than A Level","70-80%","55>=",0,60,"N","Pass",2547,-161
117544,"BBB","2014J",351,"F","South West Region","Lower Than A Level","80-90%","35-55",0,60,"N","Pass",2580,-141
117545,"BBB","2014J",182,"F","Wales","Lower Than A Level","10-20","0-35",4,120,"N","Fail",442,-4
117699,"BBB","2014B",958,"F","South Region","A Level or Equivalent","40-50%","0-35",0,120,"N","Pass",473,-236
117818,"AAA","2014J",288,"F","London Region","A Level or Equivalent","40-50%","35-55",0,60,"N","Pass",1695,-92
118098,"CCC","2014B",317,"M","East Midlands Region","HE Qualification","60-70%","0-35",0,30,"N","Fail",537,-26
118668,"FFF","2013B",946,"M","East Anglian Region","HE Qualification","40-50%","35-55",0,60,"N","Pass",3249,-28
1187586,"CCC","2014B",1441,"M","Scotland","HE Qualification","80-90%","55>=",0,90,"N","Pass",2761,-184
1187586,"DDD","2013J",1441,"M","Scotland","HE Qualification","80-90%","55>=",0,90,"N","Pass",2761,-72
118983,"AAA","2013J",309,"M","East Midlands Region","HE Qualification","30-40%","0-35",0,120,"N","Pass",284,-99
119310,"FFF","2014J",969,"M","North Western Region","Lower Than A Level","20-30%","0-35",0,150,"N","Pass",2609,-57
119353,"FFF","2013B",1030,"M","North Region","A Level or Equivalent","30-40%","35-55",0,60,"N","Pass",3766,-54
119444,"GGG","2014B",498,"F","East Midlands Region","Lower Than A Level","20-30%","0-35",0,30,"N","Pass",614,-65
119898,"BBB","2013J",757,"F","West Midlands Region","Lower Than A Level","30-40%","0-35",2,60,"N","Pass",167,-195
120611,"GGG","2014B",178,"M","South Region","A Level or Equivalent","20-30%","35-55",0,30,"N","Fail",125,-129
120994,"BBB","2013B",530,"F","London Region","Lower Than A Level","30-40%","35-55",0,70,"Y","Fail",740,-19
120999,"DDD","2013J",481,"M","East Anglian Region","Lower Than A Level","80-90%","0-35",1,60,"N","Pass",507,-60
121000,"DDD","2013B",71,"F","Wales","Lower Than A Level","40-50%","0-35",0,270,"Y","Fail",342,-51
121182,"GGG","2014J",571,"M","North Western Region","A Level or Equivalent","20-30%","0-35",0,30,"N","Pass",92,-108
121390,"DDD","2013B",303,"M","North Western Region","Lower Than A Level","10-20","35-55",0,60,"N","Fail",371,-23
122392,"CCC","2014B",270,"M","London Region","A Level or Equivalent","10-20","35-55",0,60,"N","Pass",809,-17
122459,"GGG","2013J",626,"F","East Anglian Region","Lower Than A Level","40-50%","0-35",0,90,"N","Pass",270,-141
122636,"GGG","2013J",45,"F","South East Region","Lower Than A Level","10-20","0-35",0,30,"N","Fail",110,-25
122739,"DDD","2013J",203,"M","Yorkshire Region","A Level or Equivalent","30-40%","0-35",0,60,"N","Fail",526,-34
122846,"GGG","2013J",384,"F","Yorkshire Region","Lower Than A Level","0-10%","0-35",0,30,"N","Pass",1051,-99
122928,"GGG","2013J",446,"F","East Anglian Region","Lower Than A Level","60-70%","35-55",0,30,"N","Fail",184,-40
123044,"AAA","2013J",357,"M","South Region","A Level or Equivalent","40-50%","35-55",0,60,"N","Pass",2041,-82
123087,"BBB","2014J",370,"F","West Midlands Region","A Level or Equivalent","0-10%","0-35",0,120,"N","Pass",470,-162
123270,"BBB","2014B",262,"F","North Western Region","Lower Than A Level","50-60%","35-55",0,60,"N","Fail",145,-123
123497,"DDD","2013J",151,"M","East Anglian Region","A Level or Equivalent","70-80%","0-35",1,60,"N","Fail",497,-72
123598,"DDD","2013J",1084,"M","Scotland","A Level or Equivalent","50-60%","0-35",0,90,"Y","Pass",2092,-32
123716,"BBB","2013J",884,"M","North Region","Lower Than A Level","10-20","0-35",0,90,"N","Pass",1068,-39
123860,"BBB","2013B",857,"F","East Anglian Region","A Level or Equivalent","70-80%","35-55",0,60,"Y","Pass",1292,-29
123957,"DDD","2014J",433,"F","North Western Region","Lower Than A Level","70-80%","0-35",1,60,"N","Fail",673,-39
124006,"DDD","2013J",398,"F","Scotland","A Level or Equivalent","30-40%","0-35",1,70,"Y","Pass",734,-51
124134,"DDD","2014B",385,"F","London Region","HE Qualification","20-30%","0-35",1,60,"Y","Fail",1146,-59
124193,"CCC","2014B",862,"M","East Anglian Region","HE Qualification","40-50%","35-55",0,30,"N","Pass",945,-29
124944,"GGG","2014B",820,"M","North Western Region","HE Qualification","50-60%","35-55",0,30,"N","Pass",928,-24
125063,"FFF","2014J",946,"M","London Region","Lower Than A Level","60-70%","35-55",0,60,"N","Fail",3676,-136
125535,"BBB","2014J",191,"F","Scotland","A Level or Equivalent","30-40%","35-55",2,120,"N","Pass",196,-45
126088,"FFF","2013B",189,"M","London Region","HE Qualification","30-40%","35-55",1,120,"N","Fail",1140,-64
126322,"BBB","2013B",589,"F","Scotland","A Level or Equivalent","10-20","35-55",1,60,"N","Pass",526,-106
126394,"DDD","2013J",1363,"M","Wales","A Level or Equivalent","90-100%","0-35",0,120,"N","Pass",3782,-37
126450,"EEE","2014J",324,"M","North Western Region","A Level or Equivalent","20-30%","0-35",0,60,"N","Pass",2566,-66
126608,"BBB","2014B",673,"M","Wales","A Level or Equivalent","40-50%","0-35",0,60,"N","Pass",443,-24
126713,"BBB","2014B",755,"F","London Region","A Level or Equivalent","0-10%","0-35",0,120,"N","Pass",291,-18
126812,"DDD","2013J",538,"F","East Midlands Region","A Level or Equivalent","40-50%","0-35",0,120,"N","Pass",2862,-61
1268696,"AAA","2014J",301,"M","South West Region","HE Qualification","80-90%","35-55",0,60,"N","Pass",326,-79
1268772,"CCC","2014B",616,"M","Scotland","HE Qualification","80-90%","55>=",0,60,"N","Fail",2164,-22
1268772,"EEE","2014B",616,"M","Scotland","HE Qualification","80-90%","55>=",0,60,"N","Pass",2164,-22
1270832,"CCC","2014B",426,"F","South Region","Post Graduate Qualification","90-100%","35-55",0,60,"N","Pass",2190,-22
127580,"DDD","2014B",464,"F","South Region","Lower Than A Level","50-60%","0-35",0,60,"N","Pass",3002,-29
127582,"AAA","2013J",348,"F","East Midlands Region","A Level or Equivalent","40-50%","0-35",0,180,"N","Pass",1321,-31
127642,"FFF","2013J",1027,"F","Yorkshire Region","A Level or Equivalent","20-30%","35-55",1,120,"N","Pass",2906,-32
127988,"DDD","2013J",343,"M","Yorkshire Region","A Level or Equivalent","80-90%","0-35",0,150,"N","Pass",186,-26
128132,"FFF","2014B",969,"M","London Region","A Level or Equivalent","80-90%","0-35",0,60,"N","Pass",1357,-47
128142,"FFF","2013B",553,"M","South West Region","A Level or Equivalent","50-60%","35-55",0,60,"N","Fail",1706,-108
1282596,"DDD","2013J",270,"M","West Midlands Region","HE Qualification","40-50%","35-55",4,60,"N","Fail",4322,-155
128386,"BBB","2013J",265,"M","South Region","Lower Than A Level","30-40%","35-55",0,60,"N","Fail",66,-47
128656,"DDD","2013J",352,"F","North Region","A Level or Equivalent","10-20","0-35",0,60,"N","Pass",386,-24
128678,"DDD","2013B",467,"F","London Region","A Level or Equivalent","40-50%","35-55",1,90,"N","Fail",782,-163
128889,"BBB","2013J",936,"F","South Region","A Level or Equivalent","90-100%","35-55",1,120,"N","Pass",9524,-12
128929,"EEE","2013J",369,"F","North Region","A Level or Equivalent","10-20","0-35",0,145,"N","Pass",1410,-150
128965,"DDD","2013J",409,"M","South West Region","A Level or Equivalent","60-70%","55>=",1,60,"N","Pass",518,-145
128968,"FFF","2014B",1027,"M","Yorkshire Region","A Level or Equivalent","30-40%","35-55",0,60,"N","Pass",3192,-46
128971,"EEE","2014B",338,"M","East Midlands Region","HE Qualification","80-90%","0-35",0,30,"N","Pass",1982,-26
129212,"GGG","2013J",659,"F","South Region","Lower Than A Level","80-90%","0-35",0,30,"N","Pass",1427,-109
129878,"CCC","2014B",59,"M","East Midlands Region","Lower Than A Level","40-50%","35-55",0,45,"N","Fail",251,-172
129907,"FFF","2014J",1053,"M","East Anglian Region","HE Qualification","90-100%","35-55",0,60,"N","Pass",4139,-18
129989,"DDD","2014J",672,"M","South West Region","A Level or Equivalent","20-30%","0-35",0,60,"N","Pass",1414,-86
130003,"DDD","2013B",394,"F","East Anglian Region","Lower Than A Level","0-10%","0-35",2,60,"N","Fail",238,-50
130013,"BBB","2014B",852,"F","East Anglian Region","A Level or Equivalent","20-30%","0-35",0,60,"Y","Pass",252,-71
130034,"AAA","2014J",392,"F","East Anglian Region","A Level or Equivalent","60-70%","35-55",0,60,"N","Pass",1831,-82
1301103,"CCC","2014J",851,"M","East Midlands Region","A Level or Equivalent","60-70%","35-55",0,240,"N","Pass",678,-23
130403,"FFF","2013B",780,"F","London Region","Lower Than A Level","20-30%","35-55",0,60,"N","Pass",5639,-22
130547,"AAA","2014J",292,"F","South Region","A Level or Equivalent","70-80%","35-55",0,60,"N","Pass",1252,-25
130658,"FFF","2013J",769,"M","South West Region","A Level or Equivalent","60-70%","55>=",0,60,"N","Pass",3496,-60
130671,"DDD","2013J",447,"F","West Midlands Region","Lower Than A Level","70-80%","0-35",0,60,"N","Pass",1199,-45
1311171,"CCC","2014B",2057,"M","South Region","A Level or Equivalent","80-90%","35-55",0,60,"N","Pass",2822,-29
131145,"CCC","2014B",1904,"M","South West Region","A Level or Equivalent","40-50%","0-35",0,90,"N","Pass",8229,-54
131145,"DDD","2013B",1904,"M","South West Region","A Level or Equivalent","40-50%","0-35",0,60,"N","Pass",8229,-103
131152,"DDD","2014J",424,"M","Yorkshire Region","A Level or Equivalent","90-100%","0-35",0,120,"N","Fail",377,-143
131222,"CCC","2014J",1273,"M","South Region","A Level or Equivalent","90-100%","35-55",0,60,"N","Pass",3902,-143
131222,"DDD","2013J",1273,"M","South Region","A Level or Equivalent","90-100%","0-35",0,60,"N","Pass",3902,-152
131538,"FFF","2014B",992,"M","West Midlands Region","A Level or Equivalent","70-80%","0-35",0,60,"N","Pass",2307,-72
131612,"DDD","2014J",610,"M","Yorkshire Region","A Level or Equivalent","30-40%","0-35",0,60,"N","Pass",1655,-107
131776,"EEE","2014J",336,"F","South East Region","A Level or Equivalent","50-60%","0-35",0,60,"N","Pass",1065,-35
1318759,"FFF","2014J",909,"M","Scotland","HE Qualification","50-60%","35-55",0,60,"N","Pass",5080,-23
131933,"CCC","2014J",636,"M","Scotland","Post Graduate Qualification","60-70%","35-55",1,30,"N","Pass",2039,-64
1319732,"GGG","2013J",653,"F","South Region","Lower Than A Level","50-60%","35-55",0,30,"N","Pass",308,-35
1319999,"FFF","2013J",1018,"M","North Western Region","HE Qualification","80-90%","35-55",0,90,"N","Pass",2524,-29
132123,"EEE","2013J",358,"M","South East Region","HE Qualification","90-100%","0-35",0,60,"N","Pass",1054,-23
132401,"DDD","2013J",403,"M","Yorkshire Region","Lower Than A Level","70-80%","0-35",0,60,"N","Fail",996,-90
132453,"FFF","2013J",822,"M","East Midlands Region","A Level or Equivalent","90-100%","0-35",0,60,"N","Pass",1661,-30
132475,"FFF","2014J",907,"F","Scotland","HE Qualification","20-30%","0-35",0,60,"N","Pass",4300,-100
132511,"DDD","2014J",271,"F","East Anglian Region","A Level or Equivalent","0-10%","0-35",0,120,"N","Fail",403,-144
132924,"BBB","2014J",157,"F","South West Region","Lower Than A Level","10-20","35-55",0,60,"N","Fail",21,-150
132972,"BBB","2014B",709,"F","London Region","Lower Than A Level","20-30%","0-35",0,240,"N","Pass",176,-23
132976,"AAA","2013J",337,"F","East Anglian Region","Lower Than A Level","80-90%","35-55",0,120,"N","Pass",520,-75
133068,"GGG","2014B",827,"M","East Anglian Region","A Level or Equivalent","50-60%","35-55",0,60,"N","Pass",1235,-106
133104,"FFF","2014B",1852,"M","London Region","Lower Than A Level","10-20","0-35",0,120,"Y","Pass",4168,-26
133155,"BBB","2013B",1023,"F","Yorkshire Region","HE Qualification","50-60%","35-55",0,60,"N","Pass",1360,-55
133185,"FFF","2013J",988,"M","East Anglian Region","A Level or Equivalent","50-60%","0-35",0,120,"N","Pass",3326,-24
1332356,"CCC","2014J",1172,"M","East Midlands Region","HE Qualification","70-80%","35-55",0,30,"N","Pass",1646,-122
1332356,"DDD","2014B",1172,"M","East Midlands Region","HE Qualification","70-80%","35-55",0,60,"N","Pass",1646,-123
1332999,"BBB","2014B",939,"F","Wales","Lower Than A Level","30-40%","35-55",0,60,"N","Pass",489,-31
133322,"FFF","2014B",744,"M","North Western Region","HE Qualification","30-40%","0-35",0,60,"N","Fail",2698,-24
1337055,"FFF","2013B",995,"M","South Region","HE Qualification","80-90%","35-55",1,150,"N","Pass",2685,-25
133718,"FFF","2013J",138,"M","North Western Region","Lower Than A Level","30-40%","0-35",0,60,"N","Fail",585,-25
133816,"AAA","2014J",327,"F","South Region","A Level or Equivalent","70-80%","35-55",0,60,"N","Pass",4000,-15
133922,"AAA","2014J",391,"M","North Region","Lower Than A Level","0-10%","0-35",0,60,"N","Pass",574,-110
1340760,"FFF","2014B",1088,"M","South Region","Lower Than A Level","70-80%","35-55",0,60,"N","Pass",4000,-69
134123,"GGG","2014B",829,"F","West Midlands Region","Lower Than A Level","10-20","35-55",0,30,"N","Pass",762,-10
134143,"AAA","2013J",422,"F","South East Region","A Level or Equivalent","90-100%","35-55",0,60,"N","Pass",2732,-96
1341507,"BBB","2014B",925,"F","Scotland","HE Qualification","50-60%","35-55",0,60,"Y","Pass",381,-60
134212,"EEE","2014J",335,"M","North Region","A Level or Equivalent","20-30%","0-35",0,60,"N","Pass",2096,-37
134260,"FFF","2013B",1019,"M","South Region","A Level or Equivalent","90-100%","0-35",0,90,"N","Pass",1157,-108
134336,"DDD","2013B",597,"M","Scotland","A Level or Equivalent","80-90%","0-35",0,60,"N","Fail",278,-58
134563,"BBB","2013J",980,"F","Scotland","Lower Than A Level","20-30%","0-35",2,60,"N","Pass",5183,-46
1345808,"DDD","2013J",728,"F","Scotland","HE Qualification","20-30%","35-55",0,60,"N","Pass",3002,-100
1347447,"DDD","2013B",1233,"M","East Anglian Region","A Level or Equivalent","80-90%","35-55",0,60,"N","Pass",1123,-25
134920,"DDD","2014J",330,"F","South Region","A Level or Equivalent","50-60%","0-35",0,60,"N","Fail",236,-32
